Sanskrit|English|Hindi
प्रेम्णि पराजयोऽपि विजयः।|Even defeat in love is a victory.|प्रेम में हार भी जीत है।
चरन्मार्गान्विजानाति।|A wandering one knows the paths.|चलने वाला मार्ग जानता है।
पूज्यानामपूजया पापं वर्धते।|By the non-worship of the worshipable ones, sin increases.|पूजने योग्यों को न पूजने से पाप बढ़ता है।
गुरुचरणरेणावपि शिवाकर्षणशक्तिरस्ति।|Even in the dust of the Guru's feet, there is the power of attracting welfare.|गुरु के चरणों की धूल में भी कल्याण को खींचने की शक्ति है।
भगवद्गीतायां जपयज्ञस्य माहात्म्यं प्राप्यते।|In the Bhagavadgita, the greatness of the sacrifice of chanting is found.|भगवद्गीता में जप-यज्ञ की महिमा मिलती है।
नगराण्यप्याह्वयन्ति भोजयितुं कर्मफलम्।|Even the cities call out to feed the fruit of action.|नगर भी कर्म का फल भोगने के लिए बुलाते हैं।
सम्यग्रीत्या न्यासः एव सन्न्यासः।|A relinquishment by a proper method is indeed Sannyasa (renunciation).|भली-भाँति त्याग ही संन्यास है।
कुलमर्यादा न त्यक्तव्या।|The etquette of the lineage should not be abandoned.|कुल की मर्यादा नहीं छोड़नी चाहिए।
उच्छिष्टं भोजनं तमोगुणं विधत्ते।|Leftover food produces the Tamas quality.|जूठा भोजन तमोगुण लाता है।
यत्स्यादभीष्टं तद्देहि।|Whatever may be desired, give that.|जो अभीष्ट हो, वह दो।
भाग्येन परिश्रमेण च सः प्रगतिं प्राप्तवान्।|By destiny and by effort, he obtained progress.|भाग्य और परिश्रम से उसने बढ़त पाई।
शान्तानुकूलपवनाः वहन्ति।|Peaceful and favorable winds blow.|शांत और अनुकूल पवन बहता हैं।
मन्दिराद् घण्टारवः श्रूयते।|From the temple, the sound of the bell is heard.|मंदिर से घंटे की ध्वनि सुनाई देती है।
वसन्तेन वृक्षाः हरितीकृताः।|By spring, the trees are made green.|वसंत ने पेड़ों को हरा कर दिया है।
गृहस्नानात् नद्यां स्नानं वरमेव।|Than bathing in the house, bathing in the river is indeed better.|घर में नहाने से नदी में नहाना ही उत्तम है।
तापे पक्षिभ्यः स्थापितं जलं महत्पुण्यदम्।|In the heat, water placed for the birds is a giver of great merit.|घाम में पक्षियों के लिए रखा गया पानी बड़ा पुण्य देने वाला है।
तपसा स्वात्मानं परिवर्तय।|By penance, transform one's own self.|तप से अपने आप को बदलो।
वयोवृद्धैः कुलं शोभते।|By the elders in age, the lineage shines.|बड़े-बूढ़ों से कुल की शोभा होती है।
देवालयवत् स्वतनुरक्षणं कर्तव्यम्।|Like a temple, the protection of one's own body should be done.|मंदिर की भांति अपनी देह की रक्षा करनी चाहिए।
धीराः आरब्धकार्यं मध्ये न मुञ्चन्ति।|The resolute ones do not abandon a begun task in the middle.|धीरज वाले लोग शुरू किए काम को बीच में नहीं छोड़ते।
यदिच्छामि तत्प्राप्स्याम्येव।|What I desire, that I will obtain indeed.|मैं जो इच्छा करता हूँ, वह प्राप्त करूँगा ही।
ईश्वरायोजनानि अस्मदायोजनाद्वराण्येव भवन्ति।|The plans of God are indeed better than our plan.|ईश्वर की योजनाएँ हमारी योजना से श्रेष्ठ ही होती हैं।
विश्वेऽस्मिन् साधोः गमनं तथा चासाधोः आगमनं दुःखदम्।|In this world, the departure of the good person and also the arrival of the wicked person is sorrow-giving.|इस विश्व में अच्छे का जाना तथा बुरे का आना दुःखदायी है।
