Hindi|English|Sanskrit
धर्म के तीन आधार हैं - यज्ञ अध्ययन दान|There are three pillars of dharma - yajna, study and charity|त्रयोः धर्मस्कन्धाः यज्ञः अध्ययनं दानम् इति
दुष्कृत्य करने वाले, मूढ, नराधम पुरुष मुझे नहीं भजते हैं।|The foolish evildoers, who are the most depraved among men do not take refuge in Me.|न मां दुष्कृतिनः पापकारिणः मूढाः प्रपद्यन्ते नराधमाः नराणां मध्ये अधमाः निकृष्टाः।
माया के द्वारा जिनका ज्ञान हर लिया गया है, वे आसुरी भाव को धारण किये रहते हैं।|who are deprived of (their) wisdom by Maya, and who resort to demoniacal ways|ते च मायया अपहृतज्ञानाः संमुषितज्ञानाः आसुरं भावं हिंसानृतादिलक्षणम् आश्रिताः॥
एक गरुड़ शिकार की खोज में किसी पर्वत के शिखर पर बैठा था।|An eagle was sitting on the peak of a mountain in search of prey.|एको गरुडः भोजनान्वेषणे कस्यचित् पर्वतस्य शिखरस्य उपरि उपविष्टः आसीत्।
वहीं बैठे हुए एक शिकारी ने उसपर बाण चलाकर घायल कर दिया।|A hunter sitting there shot an arrow at him and injured him.|तत्रैव उपविष्टः सन् एकः व्याध: तं प्रति सायकं चालयित्वा व्रणितवान्।
मरते समय गरुड ने उस बाण के पंख देखे।|While dying, Garuda saw the feathers of that arrow.|मृत्युकाले गरुड: तस्य सायकस्य पक्षान् अपश्यत्।
तब उसने कहा - इस बाण मे तीव्र गति हमारे ही पंखों के कारण आयी है।|Then he said - "The fast speed of this arrow has come because of our wings."|तदा स: अवदत् - "अस्मिन् सायके तीव्रगति: अस्माकमेव पक्षेभ्य: आगत:।"
इस का मुझे मृत्यु से अधिक दुःख हो रहा है।|I am more saddened by this than by death.|एतेन मम मृत्युतः अधिकं दुःखस्य अनुभूति: भवति।
सीख - "अपने ही जब पीठ में खंजर घोंपते है तब वह क्षण बडा ही दुःखदायक होता है"।|Lesson - "When you stab a dagger in your own back, that moment is very painful."|शिक्षा - "यदा स्वजन: एव पृष्ठे छुरिकां गाहते तदा तत्क्षण: अतीव दुःखितो भवति।"
मैं कोई बेल नहीं जिसे ऊपर चढ़ने को सहारा चाहिए। मैं छोटा ही सही एक पौधा हूं, एक सदाबहार पौधा।
|I am not a vine that needs support to climb up. Although small, I am a plant, an evergreen plant.|अहं काचित् न लतास्मि यस्यै उपरि आरोहणार्थं समर्थनस्य आवश्यकता वर्तते। अहं लघ्वाकार: अवश्यम्,परन्तु एक: पादपोऽस्मि, एको नित्यहरित: पादप:।
जो सर्दी, गर्मी, बरसात, ऑंधी, तुफान सब झेलता हुआ अपनी उपस्थिति दर्ज कराता रहता है।|Which continues to register its presence despite bearing cold, heat, rain, storm and storm.|य: शिशिरम्, ग्रीष्मम्, वर्षणम्, प्रकम्पनम्, वर्षणयुक्तप्रकम्पनं इत्यादीन् सर्वान् ऋतून् सहमानः स्वस्य उपस्थितिं कुर्वन् एव तिष्ठति।
नहीं चाहिए मुझे जीने के लिए और के पोषक तत्त्व मैं खूद ही खूद के लिए पर्याप्त हूं।|I don't need any more nutrients to survive, I am sufficient for myself.|मम कृते जीवितुम् अन्येषां पोषकतत्त्वानाम् आवश्यकता नास्ति तथा च अहं स्वस्य कृते स्वयमेव पर्याप्तोऽस्मि।
बस कायम रखनी है मुझे अपनी जीने की इच्छा और झेल जाने हैं, हंसते हुए सारे झंझावत।|I just have to maintain my will to live and bear all the storms with a smile.|केवलं मया स्वस्य जिजीविषा अक्षुण्णा स्थापनीया अस्ति तथा च मया हसन् सर्वप्रकम्पन: सहनीय: अस्ति।
