Sanskrit|English|Hindi
भवती परिवारेण साकं वर्तताम्।|You stay with your family.|आप अपने परिवार के साथ रहो।
तस्य कुटिलताम् अवगच्छ।|Understand his cunningness.|उसकी चालाकी को समझो।
सः त्वां वञ्चयति।|He is deceiving you.|वह तुम्हें वञ्चना दे रहा है।
कनिष्ठिकायां व्रणः जातः मे।|My little finger is hurt.|मेरी छोटी उंगली में घाव हो गया है।
पादरक्षा रक्तवर्णीया अस्ति मे।|My footwear is red in colour.|मेरी चप्पल लाल रंग की है।
किन्तु तयोः एकां मर्कटः नीतवान्।|But the monkey took away one of the those two.|लेकिन बंदर उन दोनों में से एक को चुरा ले गया।
शरीरे सप्तचक्राणि भवन्ति सर्वेषाम्।|There are seven chakras in everyone's body.|हर व्यक्ति के शरीर में सात चक्र होते हैं।
तेषु मूलाधारचक्रम् अपि अस्ति।|Among them, there is a mooladhara chakra also.|उनमें से एक मूलाधार चक्र भी है।
ग्रन्थालये तूष्णीं तिष्ठन्ति सर्वे।|Everyone remains silent in the library.|पुस्तकालय में सभी चुपचाप बैठे रहते हैं।
हस्तकङ्कणानि शब्दं कुर्वन्ति।|Bracelets make sound.|कंगन ध्वनि करते हैं।
लोकसभानिर्वाचनस्य सप्तचरणस्य मतदानं समाप्तम्, परिणामाः जूनमासस्य चतुर्थे दिने आगमिष्यन्ति।|Polling for the seven phases of the Lok Sabha elections has ended and the results will come out on June 4.|लोकसभा चुनाव के सात चरणों का मतदान खत्म हो चुका है और 4 जून को नतीजे आएंगे।
परन्तु ततः पूर्वं विभिन्नाभि: समाचारसंस्थाभि: परिणामानुमानं प्रकाशयितुमारब्धम्।|But before that, various news agencies started publishing outcome estimates.|लेकिन उससे पहले, विभिन्न समाचार एजेंसियों ने परिणाम अनुमान प्रकाशित करना शुरू कर दिया।
५ परिणामानुमानेषु एनडीए ३५० तः अधिकानि स्थानानि प्राप्स्यन्ति तथा च I.N.D.I.A. १२५ तः १५० पर्यन्तं आसनानि प्राप्स्यन्ति इति अपेक्षा अस्ति।|5 In the outcome estimates, the NDA will win more than 350 seats and the I.N.D.I.A. It is expected to get between 125 and 150 seats.|5 नतीजों के अनुमान में एनडीए 350 से ज्यादा सीटें जीतेगी और I.N.D.I.A. उसे 125 से 150 सीटें मिलने की उम्मीद है।
एतस्याधारेण तृतीयवारं एनडीएत: नरेन्द्रमोदीसर्वकार: भवितुं शक्नोति।|On this basis, the NDA could form a Narendra Modi government for the third time.|इस आधार पर एनडीए तीसरी बार नरेंद्र मोदी सरकार बना सकता है।
प्रख्यातः क्रिकेटक्रीडकः दिनेशकार्तिकः क्रिकेटक्रीडायाः सर्वेभ्यः प्रारूपेभ्यः अकस्मात् निवृत्तः जातः अस्ति।|Renowned cricketer Dinesh Karthik has suddenly retired from all formats of cricket.|मशहूर क्रिकेटर दिनेश कार्तिक ने अचानक क्रिकेट के सभी फॉर्मेट से संन्यास ले लिया है।
स्तोभरक्षकः कार्तिकः स्वस्य ३९ तमे जन्मदिने जून-मासस्य प्रथमदिनाङ्के निवृत्तेः घोषणां कृतवान्।|Wicket-keeper Karthik announced his retirement on June 1, his 39th birthday.|विकेटकीपर कार्तिक ने 1 जून को अपने 39वें जन्मदिन पर संन्यास की घोषणा की।
कार्तिकः आईपीएल-सीजनस्य आरसीबी-क्लबस्य कृते क्रीडन् दृश्यते स्म।|Karthik was seen playing for RCB in the IPL season.|कार्तिक आईपीएल सीजन में आरसीबी के लिए खेलते नजर आए थे।
कार्तिकः एक्स इति सामाजिकमाध्यमे निवृत्तेः घोषणां कुर्वन् दशकद्वयाधिकं यावत् व्याप्तस्य क्रिकेट-क्रीडायाः स्मरणं कृतवान् अस्ति।|Announcing his retirement on social media platform X, Karthik has recalled his cricketing career that spanned more than two decades.|कार्तिक ने सोशल मीडिया प्लेटफॉर्म एक्स पर अपने संन्यास की घोषणा करते हुए अपने दो दशक से ज्यादा लंबे क्रिकेट करियर को याद किया है।
